title,company,location,posted_date,job_type,remote_option,salary_info,job_url,scraped_date
Linux-Systementwickler (gn),,Chemnitz,vor 15 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Linux-Systementwickler-gn-Chemnitz-Marketplace-Hub--13061549-inline.html,2025-11-11 16:40:11
Senior Cyber Security Engineer (m/f/d),,Oberding,vor 10 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Senior-Cyber-Security-Engineer-m-f-d-Oberding-Marketplace-Hub--13187588-inline.html,2025-11-11 16:40:11
Innovation Enabler (m/w/d),,Deutschland,vor 14 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Innovation-Enabler-m-w-d-Hamburg-Deutschland-Marketplace-Hub--13316908-inline.html,2025-11-11 16:40:11
Electronics Development Engineer (Human),,Metzingen,vor 15 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Electronics-Development-Engineer-Human-Metzingen-Marketplace-Hub--13127474-inline.html,2025-11-11 16:40:11
Robotics System Engineer (Human),,Metzingen,vor 16 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Robotics-System-Engineer-Human-Metzingen-Marketplace-Hub--13127481-inline.html,2025-11-11 16:40:11
Applikationsingenieur Hardwareentwicklung (m/w/x),,Jena,vor 15 Stunden,Vollzeit,Vor Ort,,https://www.stepstone.de/stellenangebote--Applikationsingenieur-Hardwareentwicklung-m-w-x-Jena-ZEISS--12996247-inline.html,2025-11-11 16:40:11
Embedded Systems Engineer(m/w/d),,München,vor 6 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Embedded-Systems-Engineerm-w-d-Muenchen-AGSOTEC-GmbH--13317638-inline.html,2025-11-11 16:40:19
Senior Entwicklungsingenieur (m/w/d) für Medizinprodukte (Software und Hardware),,Berlin,vor 13 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Senior-Entwicklungsingenieur-m-w-d-fuer-Medizinprodukte-Software-und-Hardware-Berlin-BEBIG-Medical-GmbH--13187280-inline.html,2025-11-11 16:40:19
Technical Solutions Manager - Projektmanagement / Hardware / Sensorik (m/w/d),,Heidelberg,vor 16 Stunden,Vollzeit,Vor Ort,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Technical-Solutions-Manager-Projektmanagement-Hardware-Sensorik-m-w-d-Heidelberg-AMERIA-AG--11650563-inline.html,2025-11-11 16:40:20
"Duales Studium: ""Embedded Systems"" (w/m/d), Immenstaad, Start 2026",,Immenstaad,vor 4 Stunden,Duales Studium,Vor Ort,,https://www.stepstone.de/stellenangebote--Duales-Studium-Embedded-Systems-w-m-d-Immenstaad-Start-2026-Immenstaad-HENSOLDT--13187603-inline.html,2025-11-11 16:40:20
Werkstudent Hardware System (m/w/d),,Nürnberg,vor 4 Stunden,Werkstudent,Teilweise Home-Office,,https://www.stepstone.de/stellenangebote--Werkstudent-Hardware-System-m-w-d-Nuernberg-Ziehm-Imaging-GmbH--13317163-inline.html,2025-11-11 16:40:20
Software Engineer (m/w/d) Embedded Systems,,Hamburg,vor 9 Stunden,Vollzeit,Teilweise Home-Office,Gehalt verfügbar,https://www.stepstone.de/stellenangebote--Software-Engineer-m-w-d-Embedded-Systems-Hamburg-Eppendorf-Instrumente-GmbH--13317494-inline.html,2025-11-11 16:40:20
Hardwarearchitekt für Radiosysteme (m/w/d),,Flintbek,vor 11 Stunden,Vollzeit,Teilweise Home-Office,,https://www.stepstone.de/stellenangebote--Hardwarearchitekt-fuer-Radiosysteme-m-w-d-Flintbek-TKMS-Hagenuk-Marinekommunikation-GmbH--13319116-inline.html,2025-11-11 16:40:20
